Id_station;code_Hydro;nom_station;longitude;latitude;Periode;Automne;Hiver;Printemps;Été
599;F453000101;L'ESSONNE-A-GUIGNEVILLE-SUR-ESSONNE-[LA-MOTHE];2.347597;48.464363;2005-2030;2.1042548672527475;2.833962369594902;2.9765360860507246;1.7022646686020546
599;F453000101;L'ESSONNE-A-GUIGNEVILLE-SUR-ESSONNE-[LA-MOTHE];2.347597;48.464363;2030-2050;1.929792473076923;3.147268578393352;2.638785186413044;1.6614459184782608
599;F453000101;L'ESSONNE-A-GUIGNEVILLE-SUR-ESSONNE-[LA-MOTHE];2.347597;48.464363;2070-2100;2.315133858241758;3.509957387563268;3.3149953415147264;1.8108398954271536
595;F458000100;LA-JUINE-A-BOURAY-SUR-JUINE;2.298793;48.523594;2005-2030;1.748335472967033;2.1548904797451067;2.1505647133152173;1.4130218664582403
595;F458000100;LA-JUINE-A-BOURAY-SUR-JUINE;2.298793;48.523594;2030-2050;1.5739307153846154;2.3750601523545707;1.972875146195652;1.3888285967391305
595;F458000100;LA-JUINE-A-BOURAY-SUR-JUINE;2.298793;48.523594;2070-2100;1.781502946153846;2.514316745480839;2.250178760518934;1.4034809847571783
592;F459000101;L'ESSONNE-A-BALLANCOURT-SUR-ESSONNE;2.373666;48.537949;2005-2030;5.621277157362637;7.002413563495677;7.244163603713768;4.796897816435909
592;F459000101;L'ESSONNE-A-BALLANCOURT-SUR-ESSONNE;2.373666;48.537949;2030-2050;5.223265592857143;7.668628972853186;6.658013086413043;4.7200715233695645
592;F459000101;L'ESSONNE-A-BALLANCOURT-SUR-ESSONNE;2.373666;48.537949;2070-2100;5.947983924175824;8.31667587418655;7.817413898667601;4.943342202764977
586;F464000201;L'ORGE-A-EPINAY-SUR-ORGE-[LE-BREUIL];2.318862;48.665813;2005-2030;1.406625986813187;1.9004429822485205;2.010362323822464;1.2502761652523446
586;F464000201;L'ORGE-A-EPINAY-SUR-ORGE-[LE-BREUIL];2.318862;48.665813;2030-2050;1.249935856593407;2.163120006094182;1.9196241086956525;1.2428724635869566
586;F464000201;L'ORGE-A-EPINAY-SUR-ORGE-[LE-BREUIL];2.318862;48.665813;2070-2100;1.3667852109890108;2.2530819833694866;2.0531672223001403;1.193431995037221
587;F467000101;L'ORGE-A-MORSANG-SUR-ORGE;2.342410;48.667889;2005-2030;2.0441124123076926;2.803726418297679;2.900982121376812;1.8036091884769987
587;F467000101;L'ORGE-A-MORSANG-SUR-ORGE;2.342410;48.667889;2030-2050;1.8297000126373628;3.2344328537396123;2.77878416576087;1.8013834402173912
587;F467000101;L'ORGE-A-MORSANG-SUR-ORGE;2.342410;48.667889;2070-2100;1.9910848087912087;3.329423648590021;2.966621100280505;1.7013462130450194
589;F474000102;L'YERRES-A-COURTOMER-[PARADIS];2.901109;48.648235;2005-2030;0.614937690989011;1.0652238229403732;1.0103689547101449;0.452665271103171
589;F474000102;L'YERRES-A-COURTOMER-[PARADIS];2.901109;48.648235;2030-2050;0.5798214148351648;1.3225791396121882;0.947499095652174;0.4513072548913043
589;F474000102;L'YERRES-A-COURTOMER-[PARADIS];2.901109;48.648235;2070-2100;0.7325464402930403;1.473459014461316;1.222752033660589;0.523400006380716
588;F482000000;L'YERRES-A-OZOUER-LE-VOULGIS-[LES-ETARDS];2.753169;48.650524;2005-2030;1.358171716923077;2.1884341556668185;2.2098487432065217;1.142583455560518
588;F482000000;L'YERRES-A-OZOUER-LE-VOULGIS-[LES-ETARDS];2.753169;48.650524;2030-2050;1.3041976818681318;2.623644988919668;2.0699551875;1.1289580163043478
